article_id,topic_id,topic_desc
960628,5,Employment and HR
960628,111,"Discrimination, Disability & Sexual Harassment"
960622,5,Employment and HR
960622,114,Health & Safety
960622,116,Employee Benefits & Compensation
960608,5,Employment and HR
960608,114,Health & Safety
960604,5,Employment and HR
960604,119,Employee Rights/ Labour Relations
960280,5,Employment and HR
960280,111,"Discrimination, Disability & Sexual Harassment"
960280,114,Health & Safety
960198,5,Employment and HR
960198,18,Tax
960198,32,Coronavirus (COVID-19)
960198,112,"Retirement, Superannuation & Pensions"
960198,328,Tax Authorities
960198,534,Financing
960182,5,Employment and HR
960182,14,"Litigation, Mediation & Arbitration"
960182,112,"Retirement, Superannuation & Pensions"
960182,116,Employee Benefits & Compensation
960182,264,Trials &amp; Appeals &amp; Compensation
960072,5,Employment and HR
960072,32,Coronavirus (COVID-19)
960072,114,Health & Safety
960072,530,Employment and Workforce Wellbeing
960002,5,Employment and HR
960002,32,Coronavirus (COVID-19)
960002,112,"Retirement, Superannuation & Pensions"
960002,116,Employee Benefits & Compensation
960002,530,Employment and Workforce Wellbeing
960000,5,Employment and HR
960000,117,Redundancy/Layoff
959962,5,Employment and HR
959962,16,"Food, Drugs, Healthcare, Life Sciences"
959962,31,Cannabis & Hemp
959962,114,Health & Safety
959962,290,Food and Drugs Law
959958,5,Employment and HR
959958,32,Coronavirus (COVID-19)
959958,116,Employee Benefits & Compensation
959958,530,Employment and Workforce Wellbeing
959928,5,Employment and HR
959928,116,Employee Benefits & Compensation
959918,5,Employment and HR
959918,10,Insurance
959918,114,Health & Safety
959664,5,Employment and HR
959664,116,Employee Benefits & Compensation
959656,5,Employment and HR
959656,10,Insurance
959656,116,Employee Benefits & Compensation
959656,194,Insurance Laws and Products
959628,5,Employment and HR
959628,32,Coronavirus (COVID-19)
959628,114,Health & Safety
959628,530,Employment and Workforce Wellbeing
959624,5,Employment and HR
959624,19,Immigration
959624,113,Unfair/ Wrongful Dismissal
959624,116,Employee Benefits & Compensation
959624,119,Employee Rights/ Labour Relations
959624,393,General Immigration
959622,5,Employment and HR
959622,116,Employee Benefits & Compensation
959622,119,Employee Rights/ Labour Relations
959620,5,Employment and HR
959620,119,Employee Rights/ Labour Relations
959614,5,Employment and HR
959614,116,Employee Benefits & Compensation
959574,5,Employment and HR
959574,32,Coronavirus (COVID-19)
959574,111,"Discrimination, Disability & Sexual Harassment"
959574,116,Employee Benefits & Compensation
959574,530,Employment and Workforce Wellbeing
959574,532,Reporting and Compliance
959466,5,Employment and HR
959466,116,Employee Benefits & Compensation
959466,119,Employee Rights/ Labour Relations
959406,5,Employment and HR
959406,110,Contract of Employment
959406,113,Unfair/ Wrongful Dismissal
959406,114,Health & Safety
959406,119,Employee Rights/ Labour Relations
959396,5,Employment and HR
959396,110,Contract of Employment
959396,116,Employee Benefits & Compensation
959396,117,Redundancy/Layoff
959392,5,Employment and HR
959392,32,Coronavirus (COVID-19)
959392,117,Redundancy/Layoff
959392,530,Employment and Workforce Wellbeing
959386,3,Corporate/Commercial Law
959386,5,Employment and HR
959386,7,Environment
959386,90,Corporate and Company Law
959386,93,Corporate Governance
959386,112,"Retirement, Superannuation & Pensions"
959386,116,Employee Benefits & Compensation
959386,151,Environmental Law
959374,5,Employment and HR
959374,32,Coronavirus (COVID-19)
959374,116,Employee Benefits & Compensation
959374,119,Employee Rights/ Labour Relations
959374,530,Employment and Workforce Wellbeing
959358,3,Corporate/Commercial Law
959358,5,Employment and HR
959358,20,Strategy
959358,80,Investment Strategy
959358,93,Corporate Governance
959358,112,"Retirement, Superannuation & Pensions"
959302,5,Employment and HR
959302,32,Coronavirus (COVID-19)
959302,114,Health & Safety
959302,530,Employment and Workforce Wellbeing
959246,3,Corporate/Commercial Law
959246,5,Employment and HR
959246,12,"Government, Public Sector"
959246,14,"Litigation, Mediation & Arbitration"
959246,88,Compliance
959246,90,Corporate and Company Law
959246,116,Employee Benefits & Compensation
959246,210,Constitutional & Administrative Law
959246,264,Trials &amp; Appeals &amp; Compensation
959236,5,Employment and HR
959236,32,Coronavirus (COVID-19)
959236,114,Health & Safety
959236,119,Employee Rights/ Labour Relations
959236,530,Employment and Workforce Wellbeing
959150,5,Employment and HR
959150,26,Privacy
959150,32,Coronavirus (COVID-19)
959150,110,Contract of Employment
959150,172,Data Protection
959150,530,Employment and Workforce Wellbeing
959150,540,Operational Impacts and Strategy
959120,5,Employment and HR
959120,32,Coronavirus (COVID-19)
959120,114,Health & Safety
959120,119,Employee Rights/ Labour Relations
959120,530,Employment and Workforce Wellbeing
959076,5,Employment and HR
959076,111,"Discrimination, Disability & Sexual Harassment"
959076,114,Health & Safety
959076,118,Employment Litigation/ Tribunals
959058,5,Employment and HR
959058,32,Coronavirus (COVID-19)
959058,114,Health & Safety
959058,530,Employment and Workforce Wellbeing
959042,5,Employment and HR
959042,32,Coronavirus (COVID-19)
959042,116,Employee Benefits & Compensation
959042,530,Employment and Workforce Wellbeing
959040,5,Employment and HR
959040,18,Tax
959040,112,"Retirement, Superannuation & Pensions"
959040,322,Income Tax
959036,5,Employment and HR
959036,18,Tax
959036,32,Coronavirus (COVID-19)
959036,112,"Retirement, Superannuation & Pensions"
