parent_topic_id,child_topic_id
1,51
1,52
1,53
1,54
1,55
1,56
1,57
3,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
20,69
2,70
2,71
2,72
2,73
2,74
2,75
2,76
3,77
2,78
2,79
20,80
2,81
2,82
2,83
12,84
2,85
2,86
25,87
3,88
3,89
3,90
3,91
3,92
3,93
3,94
25,95
3,96
3,97
4,100
4,101
4,102
4,103
4,104
5,110
5,111
5,112
5,113
5,114
5,115
5,116
5,117
5,118
5,119
6,130
6,131
6,132
6,133
6,134
6,135
6,136
6,137
6,138
6,139
6,140
22,150
7,151
22,152
22,153
7,154
22,155
22,156
8,160
8,161
15,162
8,163
8,164
8,165
8,166
8,167
8,168
8,169
15,170
8,171
26,172
9,180
9,181
9,182
9,183
9,184
24,185
9,186
21,190
21,191
10,192
21,193
10,194
10,195
11,200
11,201
26,202
11,203
11,204
11,205
11,206
11,207
11,208
14,209
12,210
12,211
12,212
12,213
12,214
12,215
12,216
13,230
13,231
13,232
13,233
13,234
13,235
14,240
14,241
14,242
14,243
14,244
14,245
14,246
14,247
14,248
14,249
14,250
14,251
14,252
14,253
14,254
14,255
14,256
14,257
14,258
14,259
14,260
9,261
14,262
14,263
14,264
12,265
14,266
14,267
14,268
14,269
14,270
15,280
15,281
15,282
15,283
15,284
15,285
15,286
15,287
16,290
16,291
16,292
16,293
17,300
17,301
17,302
17,303
17,304
17,305
17,306
17,307
18,320
18,321
18,322
18,323
18,324
18,325
18,326
18,327
18,328
3,351
1,352
5,354
8,356
15,358
20,360
20,361
20,362
20,363
20,364
20,365
20,366
20,367
5,368
3,369
2,370
12,372
20,374
18,376
20,378
14,380
14,382
22,384
7,386
7,388
7,390
15,392
19,393
19,394
23,396
23,398
23,400
23,402
23,404
23,406
23,408
23,410
23,412
18,414
9,416
20,418
15,420
17,422
5,424
14,426
428,430
24,431
24,432
428,434
3,437
3,438
22,451
3,453
2,454
2,455
18,459
3,461
24,462
2,481
2,482
12,483
18,484
27,488
27,490
27,492
27,494
27,496
27,498
27,500
19,502
28,506
28,508
28,510
28,512
29,516
29,518
29,520
29,522
29,524
32,528
32,530
32,532
32,534
32,536
32,538
32,540
